#,autor_docente,autores,producao,ano,tipo_producao,citescore,quartil_citescore,percentile,quartil_percentile,q_p,qualis_estrato,qualis,programas,prog._qtd,Cluster
2,1,[60839],4318,2018,25,5.80,1.00,97,1.00,Q4,1.00,A1,[23001011020P6],1,cluster1
3,1,[11643],4539,2017,25,2.86,1.00,92,1.00,Q4,1.00,A1,[23001011031P8-23001011043P6-23001011072P6],3,cluster1
9,1,[862],6058,2001,25,1.55,0.75,69,0.75,Q3,0.00,C/NI/NP,[23001011005P7],1,cluster1
10,2,[862-58801],6065,2002,25,1.55,0.75,69,0.75,Q3,0.00,C/NI/NP,[23001011005P7],1,cluster1
18,1,[89496],6111,2010,25,1.34,0.75,60,0.75,Q3,0.70,A4,[23001011005P7],1,cluster1
19,1,[4985],6353,2017,25,1.93,0.75,69,0.75,Q3,0.80,A3,[23001011009P2],1,cluster1
20,1,[78105],6467,2019,25,2.95,1.00,66,0.75,Q3,0.50,B1,[23001011003P4-23001011054P8-23001011170P8],3,cluster1
21,1,[65308],7267,2013,25,2.33,1.00,97,1.00,Q4,1.00,A1,[23001011070P3],1,cluster1
27,3,[14449-37233-38873],19958,2015,25,0.82,0.50,50,0.75,Q3,0.00,C/NI/NP,[23001011025P8-23001011029P3-23001011031P8-23001011072P6],4,cluster1
29,2,[46564-70662],24073,2011,25,4.32,1.00,92,1.00,Q4,0.90,A2,[22003010017P5-23001011031P8-23001011040P7-23001011075P5],4,cluster1
40,1,[89249],31306,2017,25,0.57,0.50,56,0.75,Q3,0.90,A2,[23001011029P3],1,cluster1
41,1,[22948],35148,2013,25,3.45,1.00,75,0.75,Q3,0.90,A2,[23001011170P8],1,cluster1
44,1,[83109],37667,2013,25,2.16,1.00,79,1.00,Q4,0.90,A2,[23001011043P6],1,cluster1
45,2,[11643-28309],38217,2012,25,2.86,1.00,92,1.00,Q4,1.00,A1,[23001011031P8-23001011043P6-23001011072P6],3,cluster1
46,1,[11349],38473,2014,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
49,2,[40668-56213],39176,2015,25,0.36,0.50,30,0.50,Q2,0.50,B1,[23001011029P3],1,cluster1
53,3,[40668-56213-78494],39330,2018,25,1.14,0.75,65,0.75,Q3,0.80,A3,[23001011029P3],1,cluster1
55,1,[225],42912,2000,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0],1,cluster1
60,1,[225],42918,2006,25,0.98,0.75,40,0.50,Q2,0.70,A4,[23001011010P0],1,cluster1
64,1,[225],42924,1995,25,1.48,0.75,53,0.75,Q3,0.70,A4,[23001011010P0],1,cluster1
65,1,[225],42925,2005,25,3.86,1.00,90,1.00,Q4,0.90,A2,[23001011010P0],1,cluster1
66,1,[225],42926,2008,25,4.44,1.00,80,1.00,Q4,0.80,A3,[23001011010P0],1,cluster1
72,1,[225],42933,1995,25,1.32,0.75,62,0.75,Q3,0.70,A4,[23001011010P0],1,cluster1
74,2,[225-52085],42936,2002,25,4.54,1.00,83,1.00,Q4,0.00,C/NI/NP,[23001011010P0],1,cluster1
75,1,[225],42938,2010,25,2.04,1.00,83,1.00,Q4,0.80,A3,[23001011010P0],1,cluster1
76,1,[225],42939,1996,25,1.48,0.75,53,0.75,Q3,0.70,A4,[23001011010P0],1,cluster1
79,1,[225],42942,2015,25,4.44,1.00,80,1.00,Q4,0.80,A3,[23001011010P0],1,cluster1
82,1,[225],42946,2012,25,4.54,1.00,83,1.00,Q4,0.00,C/NI/NP,[23001011010P0],1,cluster1
